ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18813,44815,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,-99,NULL,41.246525,-83.234735
18814,44816,OH,OH_Erie,OH_Erie,1370,OH_Erie,-99,NULL,41.332577,-82.3519
18815,44817,OH,OH_Wood,OH_Wood,442,OH_Wood,1484,NULL,41.198948,-83.550238
18816,44818,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,3008,NULL,40.993689,-82.992684
18817,44820,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,18628,NULL,40.817557,-82.972575
18818,44822,OH,OH_Richland,OH_Richland,2896,OH_Richland,3467,NULL,40.55276,-82.396061
18819,44824,OH,OH_Erie,OH_Erie,1370,OH_Erie,4099,NULL,41.381307,-82.805431
18820,44825,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,-99,NULL,40.958682,-82.939807
18821,44826,OH,OH_Huron,OH_Huron,1810,OH_Huron,1835,NULL,41.233977,-82.478003
18822,44827,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,7164,NULL,40.819839,-82.755007
18823,44828,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,-99,NULL,41.236051,-82.859475
18824,44830,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,19604,NULL,41.169583,-83.399787
18825,44833,OH,OH_Crawford,OH_Crawford,1154,OH_Crawford,18132,NULL,40.712437,-82.799091
18826,44836,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,2813,NULL,41.234632,-83.050205
18827,44837,OH,OH_Huron,OH_Huron,1810,OH_Huron,4597,NULL,41.03937,-82.512364
18828,44838,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,-99,NULL,40.773371,-82.262119
18829,44839,OH,OH_Erie,OH_Erie,1370,OH_Erie,12353,NULL,41.375396,-82.55535
18830,44840,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,3239,NULL,40.796165,-82.178358
18831,44841,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,1147,NULL,41.252702,-83.302573
18832,44842,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,6219,NULL,40.651218,-82.225063
18833,44843,OH,OH_Richland,OH_Richland,2896,OH_Richland,2176,NULL,40.688825,-82.409252
18834,44844,OH,OH_Wyandot,OH_Wyandot,462,OH_Wyandot,801,NULL,40.990973,-83.259322
18835,44845,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,-99,NULL,41.021629,-83.109675
18836,44846,OH,OH_Erie,OH_Erie,1370,OH_Erie,3970,NULL,41.324364,-82.602236
18837,44847,OH,OH_Huron,OH_Huron,1810,OH_Huron,4062,NULL,41.233107,-82.710689
18838,44848,OH,OH_Ashland,OH_Ashland,586,OH_Ashland,-99,NULL,40.921843,-82.281571
18839,44849,OH,OH_Wyandot,OH_Wyandot,462,OH_Wyandot,2667,NULL,40.815192,-83.130871
18840,44850,OH,OH_Huron,OH_Huron,1810,OH_Huron,-99,NULL,41.032246,-82.681223
18841,44851,OH,OH_Huron,OH_Huron,1810,OH_Huron,5126,NULL,41.099673,-82.394703
18842,44853,OH,OH_Seneca,OH_Seneca,3046,OH_Seneca,1659,NULL,41.054742,-83.300106
